N;Instance;Decoder;Total Distance;Time Spent;Alpha
N020;69;TimeDecoderWithVehicleByPercentage;1196,77;253,67;Alpha1
N020;69;TimeDecoderWithVehicleByPercentage;1338,11;294,36;Alpha1
N020;70;PositionalDecoderWithVehicleByPercentage;1267,72;310,30;Alpha1
N020;70;PositionalDecoderWithVehicleByPercentage;1309,93;296,04;Alpha1
N020;70;PositionalDecoderWithVehicleByPercentage;1366,39;287,60;Alpha1
N020;70;PositionalDecoderWithVehicleByPercentage;1437,32;275,65;Alpha1
N020;70;PositionalDecoderWithVehicleByPercentage;1363,94;299,48;Alpha1
N020;70;PositionalDecoderWithVehicleByPercentage;1377,25;242,91;Alpha1
N020;70;PositionalDecoderWithVehicleByPercentage;1354,02;264,28;Alpha1
N020;70;PositionalDecoderWithVehicleByPercentage;1487,81;243,39;Alpha1
N020;70;PositionalDecoderWithVehicleByPercentage;998,62;288,97;Alpha1
N020;70;PositionalDecoderWithVehicleByPercentage;1295,77;260,66;Alpha1
N020;70;TimeDecoderWithVehicleByPercentage;1384,41;289,50;Alpha1
N020;70;TimeDecoderWithVehicleByPercentage;1335,56;323,49;Alpha1
N020;70;TimeDecoderWithVehicleByPercentage;1245,39;310,48;Alpha1
N020;70;TimeDecoderWithVehicleByPercentage;1381,10;291,04;Alpha1
N020;70;TimeDecoderWithVehicleByPercentage;1481,64;245,56;Alpha1
N020;70;TimeDecoderWithVehicleByPercentage;1372,85;265,49;Alpha1
N020;70;TimeDecoderWithVehicleByPercentage;1436,72;278,17;Alpha1
N020;70;TimeDecoderWithVehicleByPercentage;1395,28;280,35;Alpha1
N020;70;TimeDecoderWithVehicleByPercentage;1581,10;302,97;Alpha1
N020;70;TimeDecoderWithVehicleByPercentage;1244,86;269,21;Alpha1
N020;61;PositionalDecoderWithVehicleByPercentage;1124,78;180,39;Alpha1
N020;61;PositionalDecoderWithVehicleByPercentage;1113,74;250,77;Alpha1
N020;61;PositionalDecoderWithVehicleByPercentage;1332,99;252,46;Alpha1
N020;61;PositionalDecoderWithVehicleByPercentage;1074,94;227,72;Alpha1
N020;61;PositionalDecoderWithVehicleByPercentage;1279,06;177,49;Alpha1
N020;61;PositionalDecoderWithVehicleByPercentage;1203,15;223,94;Alpha1
N020;61;PositionalDecoderWithVehicleByPercentage;1154,31;234,29;Alpha1
